taxonomic_name,common_name,water,preferred_ph_lower,preferred_ph_upper,nutrients,temperature_class,cultivation_brassica,cultivation_chenopodiaceae,cultivation_cucurbit,cultivation_lamiaceae,cultivation_legume,cultivation_miscellaneous,cultivation_salad,cultivation_solanaceae,cultivation_solanum,cultivation_umbelliferae,sunlight_full sun/partial shade,sunlight_full sun/partial shade/full shade,sunlight_partial shade,water_code,nutrients_code,temperature_class_code
Pisum sativum,Pea,very high,6.0,7.5,medium,half hardy,False,False,False,False,True,False,False,False,False,False,False,False,False,5,2,3
Phaseolus coccineus,Beans (Runner),medium,6.0,6.8,medium,tender,False,False,False,False,True,False,False,False,False,False,False,False,False,3,2,2
Phaseolus vulgari,Beans (French),medium,6.0,7.5,medium,tender,False,False,False,False,True,False,False,False,False,False,False,False,False,3,2,2
Vicia faba,Beans (Broad),very low,6.0,7.0,medium,hardy,False,False,False,False,True,False,False,False,False,False,False,True,False,2,2,4
Brassica oleracea,Cabbage (Spring),high,6.0,7.5,high,hardy,False,False,False,False,True,False,False,False,False,False,False,False,False,4,4,4
Brassica oleracea (Italica group),Broccoli,medium,6.0,7.5,high,half hardy,True,False,False,False,False,False,False,False,False,False,True,False,False,3,4,3
Brassica oleracea (Gemmifera group),Brussels Sprouts,medium,6.0,7.5,high,hardy,True,False,False,False,False,False,False,False,False,False,False,False,False,3,4,4
Brassica oleracea (Botrytis group),Cauliflower,medium,5.5,7.5,high,hardy,True,False,False,False,False,False,False,False,False,False,False,False,False,3,4,4
Brassica oleracea (Acephala group),Kale,low,6.0,7.5,high,very hardy,True,False,False,False,False,False,False,False,False,False,False,False,False,1,4,5
Brassica rapa (Rapa group),Turnip,medium,5.5,7.5,medium,very hardy,True,False,False,False,False,False,False,False,False,False,True,False,False,3,2,5
Cucurbita pepo,Zucchini or Courgette,medium,6.0,7.0,high,tender,False,False,True,False,False,False,False,False,False,False,False,False,False,3,4,2
Cucumis sativus,Cucumber,high,5.5,7.0,high,tender,False,False,True,False,False,False,False,False,False,False,True,False,False,4,4,2
Cucumis melo,Melon,high,5.5,7.5,high,tender,False,False,True,False,False,False,False,False,False,False,False,False,False,4,4,2
Cucurbita moschata,Pumpkin,medium,6.0,7.0,high,hardy,False,False,True,False,False,False,False,False,False,False,False,False,False,3,4,4
Citrullus lanatus,Water melon,high,6.0,7.0,high,tender,False,False,True,False,False,False,False,False,False,False,False,False,False,4,4,2
Lactuca sativa,Lettuce (Headed),high,6.0,7.0,medium,tender,False,False,False,False,False,False,True,False,False,False,False,False,True,4,2,2
Apium graveolens,Celery,high,6.0,7.0,high,tender,False,False,False,False,False,False,True,False,False,False,True,False,False,4,4,2
cichorium intybus,Chicory,low,6.0,6.7,low,hardy,False,False,False,False,False,False,True,False,False,False,True,False,False,1,1,4
Amaranthus cruentus,Amaranth (Grain),medium,6.0,7.0,medium,tender,False,False,False,False,False,True,False,False,False,False,False,False,False,3,2,2
Cynara cardunculus,Artichoke (Globe),medium,6.0,7.0,high,tender,True,False,False,False,False,False,False,False,False,False,True,False,False,3,4,2
Helianthus tuberosus,Artichoke (Jerusalem),low,6.5,7.5,low,very hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,1,1,5
Asparagus officinalis,Asparagus,medium,6.5,7.5,medium,hardy,False,False,False,False,False,True,False,False,False,False,True,False,False,3,2,4
Solanum melongena,Aubergine,very high,5.5,7.0,high,tender,False,False,False,False,False,False,False,True,False,False,False,False,False,5,4,2
Phaseolus vulgaris,Beans (Borlotti),medium,6.0,6.5,low,tender,False,False,False,False,True,False,False,False,False,False,True,False,False,3,1,2
Beta vulgaris,Beetroot,medium,6.0,7.5,medium,half hardy,False,False,False,False,False,False,False,False,False,True,True,False,False,3,2,3
Brassica rapa (Chinensis group),Bok Choy,high,6.5,7.0,low,tender,True,False,False,False,False,False,False,False,False,False,False,False,False,4,1,2
Daucus carota,Carrot,high,5.5,7.0,low,hardy,False,False,False,False,False,False,False,False,False,True,True,False,False,4,1,4
Apium graveolens (var. rapaceum),Celeriac,high,5.5,6.5,medium,hardy,False,False,False,False,False,False,False,False,False,True,False,False,False,4,2,4
Capsicum annuum (Longum group),Chilli Pepper,medium,7.0,8.5,high,tender,False,False,False,False,False,False,False,True,False,False,False,False,False,3,4,2
Allium schoenoprasum,Chives,medium,6.0,7.5,low,hardy,False,False,False,False,False,False,False,False,False,False,False,True,False,3,1,4
Lepidium sativum,Cress,medium,6.0,7.0,low,tender,False,False,False,False,False,True,False,False,False,False,False,True,False,3,1,2
