,common_name,temperature_germination,temperature_growing,days_germination,days_harvest,ph_range,ph,chalk,clay,loam,peat,sand,silt,water_code,nutrients_code,temperature_class_code,cultivation_brassica,cultivation_chenopodiaceae,cultivation_cucurbit,cultivation_lamiaceae,cultivation_legume,cultivation_miscellaneous,cultivation_salad,cultivation_solanaceae,cultivation_solanum,cultivation_umbelliferae,sunlight_full sun/partial shade,sunlight_full sun/partial shade/full shade,sunlight_partial shade,season_biennial,season_mixed,season_perenial,season_perennial,season_unknown
0,Pea,24.0,14.0,6.0,65.0,1.5,6.75,0,0,0,0,0,0,5,2,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,Beans (Runner),26.0,23.0,7.0,75.0,0.7999999999999998,6.4,0,1,0,0,0,0,3,2,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,Beans (French),26.0,23.0,7.0,47.5,1.5,6.75,0,0,0,0,0,0,3,2,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,Beans (Broad),10.0,11.5,7.0,100.0,1.0,6.5,0,0,0,0,0,0,2,2,4,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
4,Cabbage (Spring),26.0,18.5,4.0,70.0,1.5,6.75,0,1,1,0,0,0,4,4,4,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
5,Broccoli,30.0,18.5,4.0,70.0,1.5,6.75,0,0,0,0,1,0,3,4,3,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
6,Brussels Sprouts,26.0,18.5,4.0,180.0,1.5,6.75,0,0,0,0,0,0,3,4,4,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
7,Cauliflower,26.0,17.5,5.0,82.5,2.0,6.5,0,0,0,0,0,0,3,4,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8,Kale,26.0,17.5,4.0,70.0,1.5,6.75,0,0,0,0,0,0,1,4,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,Turnip,30.0,14.5,3.0,57.5,2.0,6.5,0,0,0,0,0,0,3,2,5,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
10,Zucchini or Courgette,21.0,28.0,7.0,55.0,1.0,6.5,0,0,0,0,0,0,3,4,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,Cucumber,35.0,25.5,3.0,105.0,1.5,6.25,0,0,0,0,0,0,4,4,2,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
12,Melon,28.0,18.0,7.0,87.5,2.0,6.5,0,0,0,0,0,0,4,4,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,Pumpkin,35.0,28.0,4.0,105.0,1.0,6.5,0,0,0,0,0,0,3,4,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,Water melon,35.0,26.0,4.0,90.0,1.0,6.5,0,0,0,0,0,0,4,4,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,Lettuce (Headed),24.0,15.5,3.0,72.5,1.0,6.5,0,0,0,0,0,0,4,2,2,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
16,Celery,21.0,13.0,7.0,115.0,1.0,6.5,0,0,0,0,0,0,4,4,2,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
17,Chicory,21.0,17.5,6.0,77.5,0.7000000000000002,6.35,0,1,0,0,1,0,1,1,4,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
18,Amaranth (Grain),21.0,17.5,4.0,105.0,1.0,6.5,0,0,0,0,0,0,3,2,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
19,Artichoke (Globe),26.0,17.0,15.5,125.0,1.0,6.5,0,0,0,0,0,0,3,4,2,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
20,Artichoke (Jerusalem),25.0,25.0,13.5,130.0,1.0,7.0,0,1,1,0,0,0,1,1,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
21,Asparagus,24.0,20.0,10.0,70.0,1.0,7.0,0,0,1,0,0,0,3,2,4,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
